"部門コード","部門名","商品コード","商品名","仕様・規格","単位","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"DNK-E","電力機器事業部","E-00004117","NF125-SV 4P 75A AL-SLT(A)","","個","2022/06","12720","12720","8690","1.0000","1.0000","1","4030","31.7"
"DNK-E","電力機器事業部","E-00004182","NF125-SV 3P 50A AX-SLT(B)","","個","2023/03","17820","17820","16240","2.0000","2.0000","1","1580","8.9"
"DNK-E","電力機器事業部","E-00004233","NF32-SV 2P 15A AL(A)","","個","2022/07","8160","8160","5600","4.0000","4.0000","2","2560","31.4"
"DNK-E","電力機器事業部","E-00004233","NF32-SV 2P 15A AL(A)","","個","2022/08","2040","2040","1400","1.0000","1.0000","1","640","31.4"
"DNK-E","電力機器事業部","E-00004233","NF32-SV 2P 15A AL(A)","","個","2022/10","4190","4190","2800","2.0000","2.0000","2","1390","33.2"
"DNK-E","電力機器事業部","E-00004233","NF32-SV 2P 15A AL(A)","","個","2023/04","2450","2450","1650","1.0000","1.0000","1","800","32.7"
"DNK-E","電力機器事業部","E-00004241","NF32-SV 2P 30A AL(A)","","個","2022/05","20500","20500","14000","10.0000","10.0000","3","6500","31.7"
"DNK-E","電力機器事業部","E-00004241","NF32-SV 2P 30A AL(A)","","個","2022/07","26650","26650","18200","13.0000","13.0000","1","8450","31.7"
"DNK-E","電力機器事業部","E-00004241","NF32-SV 2P 30A AL(A)","","個","2022/08","53300","53300","36400","26.0000","26.0000","5","16900","31.7"
"DNK-E","電力機器事業部","E-00004241","NF32-SV 2P 30A AL(A)","","個","2023/04","2460","2460","1650","1.0000","1.0000","1","810","32.9"
"DNK-E","電力機器事業部","E-00004261","NF32-SV 3P 15A AL(A)","","個","2022/06","2610","2610","1790","1.0000","1.0000","1","820","31.4"
"DNK-E","電力機器事業部","E-00004261","NF32-SV 3P 15A AL(A)","","個","2022/10","10440","10440","7160","4.0000","4.0000","4","3280","31.4"
"DNK-E","電力機器事業部","E-00004261","NF32-SV 3P 15A AL(A)","","個","2022/11","2610","2610","1790","1.0000","1.0000","1","820","31.4"
"DNK-E","電力機器事業部","E-00004261","NF32-SV 3P 15A AL(A)","","個","2023/04","3000","3000","2090","1.0000","1.0000","1","910","30.3"
"DNK-E","電力機器事業部","E-00004269","NF32-SV 3P 30A AL(A)","","個","2022/06","2610","2610","1790","1.0000","1.0000","1","820","31.4"
"DNK-E","電力機器事業部","E-00004269","NF32-SV 3P 30A AL(A)","","個","2022/07","36540","36540","25060","14.0000","14.0000","1","11480","31.4"
